date,headline,ticker
2019-01-19,Berkshire Hathaway apple investment - Yahoo Finance,AAPL
2019-01-08,"History says Apple's slumping stock will hold tech back from beating the market, according to Bank of America - businessinsider.com",AAPL
2019-01-06,Will Apple Raise Its Dividend in 2019? - The Motley Fool,AAPL
2019-01-09,Apple’s Impact On The S&P 500 - Investopedia,AAPL
2019-01-18,AAPL Stock Recoups Losses Incurred After Tim Cook Slashed Apple's Revenue Guidance - MacRumors,AAPL
2019-01-29,'Shark Tank' star Kevin O'Leary: 'Apple is getting cheap again' - Yahoo Finance,AAPL
2019-01-03,Apple’s shock downgrade rattles global stock markets - The Guardian,AAPL
2019-01-03,Here's what every major analyst thinks of Apple's warning on iPhone sales. 'Biggest miss in years' - CNBC,AAPL
2019-01-16,Apple Plans to Cut Back on Hiring Due to iPhone Sales Struggles - Bloomberg.com,AAPL
2019-01-13,Apple Vs. Bitcoin: Which Is The Better Long-Term Investment? - Investing.com,AAPL
2019-01-16,Report: Apple to slow hiring; Austin's new mega-campus on track - The Business Journals,AAPL
2019-01-05,Why Apple Stock Dropped 12% in December - The Motley Fool,AAPL
2019-01-03,Apple's Chinese competitors figured out how to make better Apple products than Apple - Yahoo Finance,AAPL
2019-01-08,Tim Cook’s $12 Million Bonus for 2018 Is His Biggest Ever - Bloomberg.com,AAPL
2019-01-16,Apple is reportedly planning to cut back on hiring as iPhone sales weaken - CNBC,AAPL
2019-01-06,"Millennials Load Up on Battered Apple, Facebook, GE - Investopedia",AAPL
2019-01-30,"Qualcomm swings to profit in Q1, beats estimates - AlphaStreet",AAPL
2019-01-23,Is Apple's iPhone Battery Case Worth It? - The Motley Fool,AAPL
2019-01-03,"Stock Market News For Jan 3, 2019 - Yahoo Finance",AAPL
2019-02-10,Apple's Trying to Push iPhone Upgrades -- and That's OK! - The Motley Fool,AAPL
2019-02-04,"Microsoft fends off Apple, remains most valuable US company - foxbusiness.com",AAPL
2019-02-11,Apple Holds Value Level and Has Positive Weekly Chart - Investopedia,AAPL
2019-02-15,"Warren Buffett's Berkshire Sells Oracle, Trims Apple and Buys 3 in 4th Quarter - Yahoo Finance",AAPL
2019-02-27,Apple Customers Voting With Their Wallets For Cheaper iPhones - Investor's Business Daily,AAPL
2019-02-11,Joseph Cotton: Stocks don't just go up; corrections happen - and you have to overcome the greed factor - Northern Kentucky Tribune,AAPL
2019-02-26,Why Warren Buffett fled Oracle stock: 'I don't think I understand where the cloud is going' - The Business Journals,AAPL
2019-02-04,Apple's Media Bundle Can Take It Back to $1 Trillion: Morgan Stanley - Investopedia,AAPL
2019-02-01,Ask a Fool: Should I Sell a Stock After Bad News? - The Motley Fool,AAPL
2019-02-07,Deirdre O’Brien receives stock grants worth over $8M following expanded retail role - 9to5Mac,AAPL
2019-02-08,Apple's new retail chief is getting $4M in stock on her first day; here's how her pay compares - The Business Journals,AAPL
2019-02-19,Warren Buffett Buys Suncor Energy Inc (TSX:SU): Should You Do the Same? - The Motley Fool Canada,AAPL
2019-02-05,"Angela Ahrendts is leaving as Apple's retail chief, will be replaced by longtime exec - The Business Journals",AAPL
2019-02-19,Apple's executive shakeup suggests post-iPhone focus on services - The Business Journals,AAPL
2019-03-25,What Apple Stock Does After Big Announcements - Barron's,AAPL
2019-03-15,Apple Just Scored the $1 Billion It Was Asking for - Yahoo Finance,AAPL
2019-03-19,Better Buy: Apple vs. Microsoft - The Motley Fool,AAPL
2019-03-01,"2019 AAPL shareholders meeting: New iPad Pro features, philanthropy controversy, Apple health push - 9to5Mac",AAPL
2019-03-25,4 Ways Apple Is Reinventing Itself - Investopedia,AAPL
2019-03-26,All the Businesses Apple Wants to Disrupt — and Whether It Can - Barron's,AAPL
2019-03-18,5 Warren Buffett Stocks He's Likely In for the Long Term - Kiplinger,AAPL
2019-03-25,Fidelity OTC Fund Fuels Performance With Dynamic Nasdaq Stocks - Investor's Business Daily,AAPL
2019-03-30,Apple TV Channels Is a Big Change to Apple's Subscription Model - The Motley Fool,AAPL
2019-03-16,"Apple shares new ‘There’s more to iPhone’ videos highlighting iOS 12, Face ID, more - 9to5Mac",AAPL
2019-04-12,"Short Apple Stock Because iPhone Sales Will Disappoint Again, Analyst Says - Barron's",AAPL
2019-04-03,7 Companies Apple Could Buy in 2019 - U.S. News Money,AAPL
2019-04-03,Can Apple Card Charge Up Apple Stock? - Yahoo Finance,AAPL
2019-04-29,Apple Earnings: What to Watch - The Motley Fool,AAPL
2019-04-30,10 Times Apple’s Hardware Failed Consumers — And Hurt Its Business - InvestorPlace,AAPL
2019-04-10,"FAANNG Stocks, Ranked From Cheapest to Most Expensive - Yahoo Finance",AAPL
2019-04-09,Did Apple Finally Overtake Spotify in the U.S.? - The Motley Fool,AAPL
